,GSM8391918_H23-Ctrl.CEL.gz,GSM8391919_H23-KRAS-C12.CEL.gz,GSM8391920_H358-Ctrl.CEL.gz,GSM8391921_H358-KRAS-C12.CEL.gz,GSM8391922_H1792-Ctrl.CEL.gz,GSM8391923_H1792-KRAS-C12.CEL.gz,GSM8391924_H441-Ctrl.CEL.gz,GSM8391925_H441-KRAS-V12.CEL.gz,GSM8391926_H1299-Ctrl.CEL.gz,GSM8391927_H1299-KRAS-C12.CEL.gz,GSM8391928_H1299-KRAS-V12.CEL.gz,GSM8398301_HBEC3.CEL.gz,GSM8398302_HBEC3-K.CEL.gz,GSM8398303_HBEC3-p53.CEL.gz,GSM8398304_HBEC3-p53K.CEL.gz
X202231_at,12.38361181,12.33322341,12.21202957,12.10284921,12.34737023,12.34435288,12.24751955,12.07467511,12.41500835,12.56378653,12.58131282,12.33702998,12.07298569,12.31264702,12.4748356
X202232_s_at,12.35827683,12.33518056,12.21038017,12.09953841,12.405637,12.48870492,12.30212541,12.2001296,12.41545436,12.49839928,12.43109854,12.20299985,11.86287313,12.1092819,12.11993409
X202233_s_at,13.63903278,13.49067269,13.57307248,13.53560872,13.47331623,13.53578406,13.00104105,12.91910108,13.51589816,13.49765664,13.465134,12.48076027,11.88550126,12.77418289,12.67156541
X202234_s_at,9.507986448,9.865311155,6.08916986,5.564680575,9.917519141,9.820885973,5.369536394,4.825457465,9.343768886,9.217114708,9.320715228,9.776559307,9.982290587,10.05076935,9.342986052
X202235_at,8.320319558,8.514530798,6.036857551,5.409748935,8.412417507,8.558194719,5.167472038,5.706895449,8.246242186,8.130252155,8.630112882,9.002586297,9.16770013,9.545437778,8.637664272
X202236_s_at,10.93802907,11.51136233,8.28123781,7.826012498,11.63297037,11.60521305,6.228572858,6.480518888,9.130709127,8.475643625,7.331277096,10.48935515,9.509663051,10.39999738,9.629496446
X202237_at,12.14141096,11.51956979,6.118248754,6.123802756,12.35179949,11.37804775,6.140101043,5.668863166,5.825930237,6.660293879,6.454477775,10.49035702,10.04203793,10.33418928,10.75472895
X202238_s_at,11.3312212,10.58957576,6.789738715,6.634618465,11.6900626,10.74405744,6.776981985,6.963502917,7.063259308,7.151535404,6.959040307,8.933084778,8.263867196,8.819421862,8.883745489
X202239_at,10.32331302,10.01895732,10.14920852,10.08639337,10.11783426,10.1673134,10.58284145,10.24184147,10.72008185,10.64427399,10.80783969,10.67316996,10.95092026,10.5418685,10.7873533
X202240_at,9.656077691,9.579586406,9.38243844,9.04364251,8.848702734,9.246691417,8.97577236,9.098773912,10.06178983,9.858048513,9.553072646,8.526745302,6.88706946,9.839352378,8.620659267
